run,score,duration_s,gamma,batch_size,epsilon,epsilon_min,epsilon_decay,buffer_size,hidden_sizes,target_update_freq,lr,alpha,beta_start
1,0.635,957.8,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",1000,0.003531,0.519439,0.643439
2,0.66,1090.1,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",1000,0.002482,0.347089,0.690249
3,0.675,1198.5,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",1000,0.003329,0.693032,0.351245
4,0.73,1179.3,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",1000,0.000796,0.485399,0.670706
5,0.7,1133.9,0.99,128,1.0,0.01,0.995,50000,"[128, 128]",1000,0.00194,0.711381,0.477366
